GAME,EPISODE,REWARD_AVG,ACTION_VAL_AVG
Seaquest-v5,1940,0.45,6.872382825948298
Seaquest-v5,1960,0.15,6.857664579153061
Seaquest-v5,1980,-0.1,7.096836301460862
Seaquest-v5,2000,0.6,7.214163797609508
Seaquest-v5,2020,-0.3,7.0764683540165425
Seaquest-v5,2040,-0.45,7.224815157949925
Seaquest-v5,2060,-0.35,7.2163410407677295
Seaquest-v5,2080,-0.35,7.332950461446307
Seaquest-v5,2100,-0.5,7.365170165486634
Seaquest-v5,2120,0.6,7.166381156593562
Seaquest-v5,2140,-0.45,7.201542780436576
Seaquest-v5,2160,-0.1,6.881557805165649
Seaquest-v5,2180,-1.65,6.515237288884818
Seaquest-v5,2200,-0.45,6.731660126782954
Seaquest-v5,2220,-0.55,6.672276848107576
Seaquest-v5,2240,-0.7,6.966089159324765
Seaquest-v5,2260,-0.6,6.60043791834265
Seaquest-v5,2280,-1.65,6.825790384188294
Seaquest-v5,2300,-1.05,7.174373124390841
Seaquest-v5,2320,-1.45,7.346150838658214
Seaquest-v5,2340,-0.35,7.00082155648619
Seaquest-v5,2360,-0.75,7.004795316308737
Seaquest-v5,2380,-1.75,7.019683715179562
Seaquest-v5,2400,-1.3,7.211570349596441
Seaquest-v5,2420,-2.05,7.404853113442659
Seaquest-v5,2440,-1.95,7.572041433081031
Seaquest-v5,2460,-0.1,7.686070219874382
Seaquest-v5,2480,-1.85,7.728920822665096
Seaquest-v5,2500,-0.15,7.770120926648378
Seaquest-v5,2520,-1.2,7.831376905590296
Seaquest-v5,2540,-1.15,7.93206690132618
Seaquest-v5,2560,-0.95,6.962995461300015
Seaquest-v5,2580,-0.55,6.983381393812596
Seaquest-v5,2600,0.1,6.8152654042094944
Seaquest-v5,2620,-0.75,6.6994202295690775
Seaquest-v5,2640,0.05,6.803232421502471
Seaquest-v5,2660,-1.5,6.986016693343409
Seaquest-v5,2680,-2.6,7.452665974870325
Seaquest-v5,2700,-1.6,8.052752077765764
Seaquest-v5,2720,-2.75,8.302215250432491
Seaquest-v5,2740,-2.45,8.87335890428163
Seaquest-v5,2760,-0.65,8.777091604024172
Seaquest-v5,2780,-2.3,8.988208384811879
Seaquest-v5,2800,-1.0,8.735441378131508
Seaquest-v5,2820,-1.95,8.549159098565578
Seaquest-v5,2840,-2.0,8.32367371596396
Seaquest-v5,2860,-2.75,8.15233736589551
Seaquest-v5,2880,-2.65,8.42895530797541
Seaquest-v5,2900,-2.5,8.121713767424225
Seaquest-v5,2920,-1.7,8.10697214499116
Seaquest-v5,2940,-2.35,7.511812646836042
Seaquest-v5,2960,-2.65,7.699904851391912
Seaquest-v5,2980,-2.55,7.932618668153882
Seaquest-v5,3000,-1.05,8.050319400131702
